label	occurrences	lines	activity	classification	disposition
PjKiPj	1	1688	active	figure	Inherits the complete status and SAL-hypothesis boundary of the Appendix C separating-projector lemma: SAL gives orthogonal physical supports for the BNT sectors. This displayed compression identity is a clause of that lemma.
Qks	1	1700	active	figure	Inherits the complete status and SAL-hypothesis boundary of the Appendix C separating-projector lemma: SAL gives orthogonal physical supports for the BNT sectors. This displayed projector identity is a proof clause of that lemma.
QkKjs	1	1705	active	figure	Inherits the complete status and SAL-hypothesis boundary of the Appendix C separating-projector lemma: SAL gives orthogonal physical supports for the BNT sectors. This displayed compression identity is a proof clause of that lemma.
Qketc2	1	1724	active	equation	Inherits the complete status and SAL-hypothesis boundary of the Appendix C separating-projector lemma: SAL gives orthogonal physical supports for the BNT sectors. This displayed decomposition identity is a proof clause of that lemma.
keyformula	1	1730	active	figure	Inherits the complete status and SAL-hypothesis boundary of the Appendix C separating-projector lemma: SAL gives orthogonal physical supports for the BNT sectors. This displayed support identity is a proof clause of that lemma.
prop2to3	1	1741	active	theorem-like	Source Proposition C.12; represented by the preserved not-ready node thm:mpdo_sal_zcl_bnt_sector_structure, the proved low-level counterexample node thm:mpdo_sal_zcl_bnt_sector_structure_counterexample, and the project-derived prepared-pair node thm:mpdo_neighboring_trace_obstruction_prepared_two_block_bnt. All sectorwise analytic inheritance is formalized, but coefficient absorption does not preserve normality and these local properties do not imply the factorization. A project-derived preparation supplies a normalized two-block BNT decomposition with weights (μ,1) and disjoint physical supports, but no ambient simple-biCF reconstruction. It is not a CPSV16 construction, and issue #6775 remains open at the source-context boundary.
generateMPDO	1	1748	active	figure	Inherits Proposition prop2to3's not-ready status and all-sector Case-II normality boundary: sectorwise injectivity, positivity, SAL, and literal physical-trace idempotence are complete, but coefficient absorption does not supply normality for every sector.
sigmaNKj	1	1756	active	equation	Inherits Proposition prop2to3's not-ready status and all-sector Case-II normality boundary: sectorwise injectivity, positivity, SAL, and literal physical-trace idempotence are complete, but coefficient absorption does not supply normality for every sector.
entropiesj	1	1768	active	equation	Inherits Proposition prop2to3's not-ready status and all-sector Case-II normality boundary: sectorwise injectivity, positivity, SAL, and literal physical-trace idempotence are complete, but coefficient absorption does not supply normality for every sector.
sumstron	1	1773	active	equation	Inherits Proposition prop2to3's not-ready status and all-sector Case-II normality boundary: sectorwise injectivity, positivity, SAL, and literal physical-trace idempotence are complete, but coefficient absorption does not supply normality for every sector.
strongj	1	1778	active	equation	Inherits Proposition prop2to3's not-ready status and all-sector Case-II normality boundary: sectorwise injectivity, positivity, SAL, and literal physical-trace idempotence are complete, but coefficient absorption does not supply normality for every sector.
prop3to4	1	1787	active	theorem-like	Source Proposition C.13; its component conclusion is mapped to the complete BNT-sector GSNNCH construction in Blueprint Chapter 21 by a proof that does not require copy independence. The printed proof has proof-path drift: it invokes lemmus, whose hypothesis is ZCL, although the proposition is stated from condition-(iv) data alone.
prop4to2	1	1802	active	theorem-like	Source Proposition C.14; the literal statement's omitted ambient hypothesis is recorded as an explicit-hypothesis restriction on Blueprint thm:mpdo_canonical_bnt_proportional_sectors_zcl_sal, whose corrected theorem is Lean-formalized under ambient ZCL and one-site positivity; gap: cpsv16_commuting_form_to_sal.tex.
prop2to5	1	1811	active	theorem-like	Source Proposition C.15 is the viable (ii)=>(v) route and is represented by thm:mpdo_sal_zcl_blocking_channels. The earlier Case-II derivation first uses ZCL to make copy weights common and absorb them. The local analytic hypotheses alone do not yield the printed factorization. The preserved node remains not ready; #6775 tracks the ambient source-context factorization. Proposition C.7 constructs the representative channels from that factorization, and their projector-controlled outer assembly is formalized in #6632. The project-derived direct sector-mixing alternative formerly tracked in #6793 is not a separate source assertion.
Lemma-L	1	1835	active	theorem-like	Source Lemma C.16; mapped to the original-space marked-tensor separation theorem and MPSTensor.IsCPSVCanonicalForm.insertedTensor_eq_of_firstSiteActionAgree.
eq1:proof.IV.12	2	1838,1882	active	figure	Accidental duplicate with two explicit inheritances. The line-1838 occurrence inherits Lemma C.16's complete original-space insertion status, including inactive zero-weight coordinates. The line-1882 occurrence inherits Proposition 4.13's complete rectangular-coisometry status and orientation UU†=I.
UMU-appendix	1	1866	active	equation	Inherits Proposition 4.13's complete status with the rectangular-coisometry orientation: the source isometry satisfies UU†=I together with both exact vertical direct-sum identities. Blueprint node thm:vertical_cf_of_cpsv_canonical_form records the corrected literal theorem.
eq2:proof.IV.12	1	1890	active	equation	Inherits Proposition 4.13's complete status with the rectangular-coisometry orientation: the source isometry satisfies UU†=I together with both exact vertical direct-sum identities. Blueprint node thm:vertical_cf_of_cpsv_canonical_form records the corrected literal theorem.
eq3:proof.IV.12	1	1903	active	equation	Inherits Proposition 4.13's complete status with the rectangular-coisometry orientation: the source isometry satisfies UU†=I together with both exact vertical direct-sum identities. Blueprint node thm:vertical_cf_of_cpsv_canonical_form records the corrected literal theorem.
eq:algebra-appendix	1	1935	active	equation	Inherits Theorem 4.14's partial-as-printed status. The algebra characterization containing this clause is complete, while equivalence with the fusion clause is formalized only after the active-support and coisometry corrections recorded by Blueprint node thm:cpsv_theorem414_printed_status.
idempotent-appendix	1	1939	active	equation	Inherits Theorem 4.14's partial-as-printed status. The algebra characterization containing this clause is complete, while equivalence with the fusion clause is formalized only after the active-support and coisometry corrections recorded by Blueprint node thm:cpsv_theorem414_printed_status.
Figure9	1	1953	active	figure	Inherits the Appendix C.4 proof of Theorem 4.14 and therefore its partial-as-printed status: the algebra direction is complete, while the fusion direction requires the documented active-support and coisometry corrections. See Blueprint node thm:cpsv_theorem414_printed_status.
eq1-proof-main-thm	1	2016	active	equation	Inherits the Appendix C.4 proof of Theorem 4.14 and therefore its partial-as-printed status: the algebra direction is complete, while the fusion direction requires the documented active-support and coisometry corrections. See Blueprint node thm:cpsv_theorem414_printed_status.
Figure11	1	2022	active	figure	Inherits the Appendix C.4 proof of Theorem 4.14 and therefore its partial-as-printed status: the algebra direction is complete, while the fusion direction requires the documented active-support and coisometry corrections. See Blueprint node thm:cpsv_theorem414_printed_status.
eq2-proof-main-thm	1	2026	active	equation	This displayed direct-sum identity refers to the preceding Figure11 and inherits the Appendix C.4 proof of Theorem 4.14 and therefore its partial-as-printed status: the algebra direction is complete, while the fusion direction requires the documented active-support and coisometry corrections. See Blueprint node thm:cpsv_theorem414_printed_status.
AppendixLooseEnds	1	2091	active	section	Organizational label for Appendix D; alternative RFP definitions are source context and the decorrelation theorem is covered in Blueprint Chapter 13.
RFP-gauge	1	2101	active	figure	The printed pure-state equivalence is false: the cube-phase tensor blocks to itself up to swap gauge-phase but has non-idempotent transfer. The exact source-shaped counterexample is formalized in TNLean/MPS/RFP/GaugeBlockingCounterexample.lean, and Blueprint node thm:cpsv_pure_rfp_gauge_status records the refutation with its correction boundary; issue #5920 is closed.
Strong-RFP	1	2110	active	figure	The unnormalized structural predicate is MPOTensor.IsStrongRFP, with literal relation M₂ = U (M₁ ⊗ P) U†, P ≥ 0, and physical-closure equivalence in Blueprint nodes def:mpdo_strong_rfp and thm:mpdo_strong_rfp_phys_close. Its general periodic geometric-rank implication and the Fibonacci obstruction are complete.
rank-Fibonacci	1	2122	active	equation	The periodic rank formula, its non-geometricity, and the resulting ¬ IsStrongRFP theorem are complete for every positive choice of FusionWeights with the prescribed Fibonacci support; see Blueprint nodes thm:cpsv_fibonacci_periodic_rank, thm:cpsv_fibonacci_operator_rank_not_geometric, and thm:cpsv_fibonacci_not_strong_rfp.
eq:1	1	2158	active	equation	Internal diagonalization calculation supporting the completed Fibonacci periodic rank formula, not an independent theorem.
decorr	1	2196	active	equation	Displayed identity supporting the Appendix D material, principally the decorrelation development in Blueprint Chapter 13; it is notation or an internal proof step, so no standalone formalization is warranted.
QAXQXB	1	2210	active	equation	Displayed identity supporting the Appendix D material, principally the decorrelation development in Blueprint Chapter 13; it is notation or an internal proof step, so no standalone formalization is warranted.
KAXBKAXKXB	1	2212	active	equation	Displayed identity supporting the Appendix D material, principally the decorrelation development in Blueprint Chapter 13; it is notation or an internal proof step, so no standalone formalization is warranted.
varphiPAXB	1	2228	active	equation	Inherits the complete status and stated tripartite-subspace hypothesis boundary of the Appendix D proposition characterizing decorrelation by a parent commuting Hamiltonian subspace. This projector identity is a step in the formalized equivalence represented in Blueprint Chapter 13.
Propproj	1	2233	active	equation	Inherits the complete status and stated tripartite-subspace hypothesis boundary of the Appendix D proposition characterizing decorrelation by a parent commuting Hamiltonian subspace. This projector identity is a step in the formalized equivalence represented in Blueprint Chapter 13.
PAXPXB	1	2245	active	equation	Inherits the complete status and stated tripartite-subspace hypothesis boundary of the Appendix D proposition characterizing decorrelation by a parent commuting Hamiltonian subspace. This projector identity is a step in the formalized equivalence represented in Blueprint Chapter 13.
PXBAXetc	1	2255	active	equation	Inherits the complete status and stated tripartite-subspace hypothesis boundary of the Appendix D proposition characterizing decorrelation by a parent commuting Hamiltonian subspace. This projector identity is a step in the formalized equivalence represented in Blueprint Chapter 13.
PPPAXB	1	2261	active	equation	Inherits the complete status and stated tripartite-subspace hypothesis boundary of the Appendix D proposition characterizing decorrelation by a parent commuting Hamiltonian subspace. This projector identity is a step in the formalized equivalence represented in Blueprint Chapter 13.
PAXQAX	1	2263	active	equation	Inherits the complete status and stated tripartite-subspace hypothesis boundary of the Appendix D proposition characterizing decorrelation by a parent commuting Hamiltonian subspace. This projector identity is a step in the formalized equivalence represented in Blueprint Chapter 13.
PXBQXB	1	2265	active	equation	Inherits the complete status and stated tripartite-subspace hypothesis boundary of the Appendix D proposition characterizing decorrelation by a parent commuting Hamiltonian subspace. This projector identity is a step in the formalized equivalence represented in Blueprint Chapter 13.
arrggg	1	2281	active	equation	Inherits the complete status and stated tripartite-subspace hypothesis boundary of the Appendix D proposition characterizing decorrelation by a parent commuting Hamiltonian subspace. This projector identity is a step in the formalized equivalence represented in Blueprint Chapter 13.
